Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
74.93428306022466,28,60224.29371500228,60.77712129758373,Discover Enterprise-wide explicit alliance!,Dylanmouth,1,Saint Lucia,2024-10-12 10:01:47.774989,1
62.23471397657631,31,59249.853888034995,97.80057412252512,Discover Persistent asynchronous methodology!,Allisonfurt,0,Vanuatu,2024-05-27 06:05:56.168008,1
77.95377076201385,29,40952.20231291763,116.51886374829655,Discover Up-sized modular paradigm!,Elliotthaven,1,Slovenia,2024-10-27 07:03:20.298160,1
95.46059712816052,36,63693.76332645607,145.98675643698766,Discover Profit-focused hybrid project!,New Erinburgh,0,Gibraltar,2024-10-07 10:30:50.941114,1
60.31693250553328,46,32648.759866350727,180.96649306427514,Discover Phased composite synergy!,Robertsview,0,Angola,2024-12-24 17:56:49.807806,1
60.317260861016386,27,45187.235113595074,167.76543773487057,Discover User-centric non-volatile attitude!,Port Shellyfort,1,French Southern Territories,2025-01-13 17:50:06.200598,1
96.58425631014782,45,25013.682806532885,92.82700806210059,Discover Front-line exuding pricing structure!,Jenkinsview,0,Myanmar,2024-09-20 13:28:33.409468,1
80.34869458305818,27,78379.39775444222,125.1315095133739,Discover Re-contextualized uniform Internet solution!,Robinsonhaven,0,Chad,2024-12-15 19:15:42.993913,1
55.610512281300956,26,51526.75759082057,143.05502354810267,Discover Cloned static toolset!,Amyside,1,Congo,2024-11-18 15:19:27.331023,1
75.8512008717193,43,87503.26052224467,129.51171502214004,Discover Digitized maximized secured line!,Marcuschester,0,Bermuda,2024-12-05 17:17:38.176065,1
55.73164614375075,44,67044.24889779242,129.22819096526823,Discover Customizable zero tolerance definition!,Johnton,0,French Guiana,2024-06-26 13:29:03.913412,1
55.68540492859486,43,61721.47320026537,71.09026701382913,Discover Reverse-engineered content-based array!,North Janice,1,Dominica,2024-08-16 01:57:38.086129,1
69.83924543132068,21,46206.58458578501,93.89063395441438,Discover Mandatory well-modulated function!,East Patricia,1,Uganda,2024-06-12 15:45:32.825562,1
26.73439510684404,30,39304.7494646887,123.88240603442907,Discover Re-contextualized systematic Graphic Interface!,Peggyborough,0,Colombia,2024-08-09 12:27:21.448029,1
30.501643349739346,43,62844.57360845418,50.0,Discover Managed 24/7 support!,New Daniel,1,Netherlands Antilles,2024-10-17 18:17:56.072541,0
53.754249415180546,35,53927.289860905265,165.62577280039417,Discover Fundamental stable analyzer!,Port Robert,1,Iran,2024-09-17 09:38:35.160033,1
44.74337759331152,24,34910.94526772048,85.09283601155721,Discover Multi-layered maximized superstructure!,Lake Deborah,1,Brunei Darussalam,2024-08-19 14:19:28.129402,1
71.28494665190547,39,32247.12375237522,167.47352533060553,Discover Diverse multi-state analyzer!,East Tonyabury,1,Chad,2025-02-02 01:17:20.000505,1
46.83951848957578,27,40619.44406284625,163.9566401788364,Discover User-centric transitional policy!,Nixonfort,0,Mauritania,2024-06-27 15:13:26.496811,1
36.75392597329417,52,82314.50837899346,118.25227827550464,Discover Profound empowering definition!,Mooreview,0,Taiwan,2025-01-16 06:34:17.100956,1
94.31297537843108,50,88199.16877016956,180.0219330280615,Discover Right-sized asynchronous ability!,Lloydstad,1,Rwanda,2025-02-10 16:14:19.631541,1
60.48447399026929,41,58074.837209633646,169.72789379699734,Discover Vision-oriented neutral toolset!,West Kellystad,0,Norfolk Island,2025-01-08 15:38:26.383579,1
66.35056409375848,48,57234.141943619325,127.64154116661437,Discover Multi-channeled global forecast!,North Scott,1,Oman,2024-12-09 22:01:58.788128,1
36.505036275730866,35,49955.194422557186,123.12961539233207,Discover Expanded composite hub!,South Tina,0,Anguilla,2024-09-08 03:22:13.635673,1
54.11234550949635,42,40982.719775357466,183.88931142657427,Discover Customizable local solution!,Mendezfort,1,Falkland Islands (Malvinas),2024-09-17 11:48:28.264192,1
67.21845179419732,49,75627.68586410866,149.28055357630657,Discover Switchable scalable Internet solution!,Singhtown,0,Palau,2024-09-22 18:16:36.587705,1
41.980128451553945,37,83103.64590845704,181.7878867347257,Discover Upgradable empowering Local Area Network!,West Christopherville,0,Falkland Islands (Malvinas),2025-04-07 15:16:19.275899,1
72.51396036691344,32,41598.71371241072,50.0,Discover Open-architected cohesive contingency!,West Melissa,1,Angola,2025-02-27 00:42:00.130894,1
52.9872262016239,18,53757.42432363098,143.93940388077849,Discover Extended 3rdgeneration challenge!,Paulstad,1,United Kingdom,2024-10-30 08:56:30.835401,1
59.166125004134464,34,48252.00548934748,76.90363652122508,Discover Cross-platform bi-directional emulation!,Sandramouth,1,Christmas Island,2025-03-09 17:36:35.187770,1
52.96586775541206,43,48696.41387702534,138.96845970052948,Discover Digitized demand-driven neural-net!,New Josephview,0,Tunisia,2024-06-17 01:09:42.829659,1
102.04556369017875,44,72788.62383144793,168.55280833383534,Discover Decentralized leadingedge time-frame!,Williamsonchester,1,Malta,2025-01-07 04:44:47.141075,1
64.73005550524132,40,35320.57681950818,209.5656058299641,Discover Inverse next generation toolset!,Brockstad,1,Indonesia,2024-05-09 02:35:34.304311,1
43.84578142088199,29,61997.04536404459,102.47333086251257,Discover Multi-layered mobile focus group!,Grantside,0,Finland,2024-12-31 20:58:18.862283,1
81.45089824206377,18,65923.57160958799,118.97180778792068,Discover Customizable logistical synergy!,West Robertburgh,0,Guinea-Bissau,2024-09-25 09:05:44.466694,1
40.58312700057955,30,52867.732395972715,136.1786837169785,Discover Robust actuating interface!,Santosmouth,1,Bhutan,2024-12-18 04:02:55.059037,1
69.1772719000951,31,68396.01740480159,101.01875594152438,Discover Ergonomic attitude-oriented challenge!,Cristinaburgh,0,Italy,2024-09-18 00:30:28.752356,1
25.806597522404488,31,57214.777608061755,179.14238915157028,Discover Robust bandwidth-monitored neural-net!,Denisehaven,1,Czech Republic,2024-07-08 13:26:16.215975,1
38.436279022031385,41,73256.94881734168,137.19621818537507,Discover Multi-lateral mission-critical product!,Lake James,0,Chile,2025-01-09 21:37:51.955129,1
68.93722471738246,54,32166.92042611219,144.87828093504183,Discover Team-oriented discrete website!,West Michael,1,Syrian Arab Republic,2024-11-12 13:48:12.908756,1
79.76933159990821,36,49768.371084896964,164.80692507096634,Discover Up-sized clear-thinking service-desk!,East Erica,0,Mozambique,2025-03-13 19:08:53.440156,1
68.4273656237994,32,53922.80285723448,137.13153934498362,Discover De-engineered actuating system engine!,Anthonyville,1,French Guiana,2025-02-02 23:46:06.918774,1
62.68703435223519,32,20000.0,107.2984348729654,Discover Focused 24/7 database!,Ruizhaven,0,Micronesia,2024-11-19 23:24:02.673415,1
58.977926088214225,36,38710.70899632198,137.47919046806132,Discover Exclusive systemic attitude!,Beckyborough,0,Spain,2024-05-06 08:02:20.707517,1
35.42956019265145,26,42796.011184618204,105.75274561946443,Discover Extended asymmetric conglomeration!,South Jamesview,0,Niue,2024-06-29 23:15:50.565405,1
50.60311583210583,36,69223.08992235025,144.31923556465944,Discover Integrated web-enabled secured line!,Cathyshire,0,Saint Martin,2025-01-20 02:05:19.607345,1
55.78722458080425,39,44397.349805280995,179.87750883207187,Discover Team-oriented maximized approach!,Allenmouth,0,Saint Helena,2024-08-14 06:55:22.492491,1
86.1424445243783,37,42728.81519041034,93.00086830910672,Discover Down-sized grid-enabled analyzer!,Loriland,0,Gabon,2024-06-24 04:01:48.623519,1
71.87236579136923,39,67262.28670984288,78.7051599423163,Discover Advanced 3rdgeneration knowledgebase!,East Sandraton,0,Venezuela,2024-07-26 05:00:50.739825,1
29.73919689274532,39,30731.340313149183,141.96999743678697,Discover Pre-emptive heuristic complexity!,Lake Steven,0,Chad,2024-05-05 00:18:18.441433,1
71.4816793878959,18,23931.33898834642,109.28801533024377,Discover Stand-alone 24/7 pricing structure!,South Roberthaven,1,Australia,2024-11-02 17:12:19.115814,1
57.29835439167367,41,49576.1154989598,141.26981097647877,Discover Up-sized user-facing benchmark!,Veronicastad,0,Saint Kitts and Nevis,2025-02-11 06:59:41.843354,1
51.461559993880826,28,33284.398478824674,152.81614082438801,Discover Synergistic 3rdgeneration concept!,Lake Donald,0,Antigua and Barbuda,2024-07-08 08:21:31.931293,1
